faixa_etaria,volume_procedimentos
"[10.857, 16.286)",131161
"[38.0, 43.429)",99766
"[48.857, 54.286)",97561
"[43.429, 48.857)",85566
"[32.571, 38.0)",77867
"[21.714, 27.143)",71502
"[27.143, 32.571)",66010
"[16.286, 21.714)",65349
"[54.286, 59.714)",61884
"[5.429, 10.857)",54156
"[59.714, 65.143)",40094
"[0.0, 5.429)",18867
"[65.143, 70.571)",10247
"[70.571, 76.0)",4060
"[76.0, 81.429)",2193
"[81.429, 86.857)",476
"[86.857, 92.286)",173
"[92.286, 97.714)",14
"[97.714, 103.143)",2
"[108.571, 114.0)",2
"[103.143, 108.571)",0
